mediacontent_id,genre_id
862,2
862,3
862,5
8844,2
8844,9
15602,5
15602,14
31357,5
31357,8
31357,14
11862,5
949,1
949,6
949,8
11860,5
11860,8
11860,14
45325,1
45325,2
45325,8
9091,1
9091,6
9091,8
9091,16
710,1
710,2
710,16
9087,8
9087,14
12110,5
12110,11
21032,2
21032,3
21032,8
10858,8
1408,1
1408,2
524,6
524,8
4584,8
4584,14
5,5
9273,2
9273,5
9273,6
11517,1
11517,5
11517,6
8012,5
8012,6
8012,16
1710,6
1710,13
1710,16
9691,1
9691,2
9691,6
9691,16
12665,8
12665,9
451,8
451,14
16420,8
9263,5
9263,8
9263,14
17015,8
17015,14
902,2
902,9
37557,6
37557,8
9909,8
63,13
63,16
9598,5
9598,8
9598,9
687,8
33689,5
33689,14
9603,5
9603,14
34615,8
31174,8
31174,17
11443,1
11443,6
11443,8
35196,8
35196,14
9312,1
9312,9
577,5
577,6
577,8
11861,8
11861,14
807,6
807,13
807,16
10530,2
10530,3
10530,14
8391,8
8391,14
629,6
629,8
629,16
11448,5
11448,14
49133,8
26441,5
97406,8
9089,5
9089,8
9089,14
11010,5
11010,8
11010,14
11359,2
11359,9
17182,8
17182,16
2054,8
10607,5
10607,6
19760,5
19760,14
9536,5
11525,1
11525,11
11525,16
4482,5
4482,14
10634,5
10634,8
755,1
755,6
755,11
755,16
11859,1
28387,5
28387,8
28387,14
48750,8
20927,8
20927,14
36929,5
9102,11
9102,17
27526,8
27526,16
9623,6
9623,8
9623,16
46785,8
400,6
400,8
880,5
880,8
146599,8
146599,14
8447,8
8447,14
10534,2
10534,8
17414,2
17414,5
13997,5
2086,1
2086,6
2086,16
9095,8
9095,11
9095,16
12158,5
12158,9
12158,11
12158,14
9283,5
9283,8
9283,14
9208,1
9208,16
40154,5
406,8
63076,7
11062,8
11062,16
13685,5
13685,6
13685,8
47475,5
47475,14
2045,13
2045,16
9614,5
688,8
688,14
11907,5
11907,8
10874,2
10874,5
89333,7
197,1
197,8
197,17
103,6
103,8
33542,1
33542,5
33542,6
33542,16
43566,6
43566,8
43566,13
51352,7
16934,5
16934,6
16934,8
10324,5
10324,14
78406,5
78406,8
32119,6
32119,8
11066,5
11066,14
11104,5
11104,8
11104,14
2074,5
27793,2
27793,5
27793,9
290157,7
110972,5
110972,14
11863,13
11863,16
9101,5
5757,5
9302,8
9302,14
11000,5
16388,5
16388,8
16388,14
9737,1
9737,5
9737,6
9737,16
30765,2
30765,8
10474,6
10474,8
22279,5
22279,8
22279,14
30157,5
30157,6
30157,8
568,8
11780,1
11780,2
11780,8
11780,17
34996,8
34996,11
414,1
414,6
414,9
649,8
649,14
1873,8
1873,16
5894,5
1775,5
8839,5
8839,9
20649,6
20649,8
20649,13
10329,1
10329,2
8963,1
8963,8
8963,16
8963,17
26564,7
8068,1
8068,6
8068,16
8512,6
8512,13
8512,16
1572,1
1572,16
13552,5
13552,6
13552,8
6520,1
6520,2
6520,8
6520,14
9073,2
9073,5
9073,8
10428,1
10428,6
10428,8
10428,16
17447,5
17447,8
17447,14
9886,1
9886,2
9482,1
19326,5
19326,8
9344,6
9344,8
